operator,country,rat,signal_quality,download_kbps,upload_kbps,latency_ms_avg,latency_ms_stdev
3,sweden,3G,bad,3075.1625206571275,908.556253720688,145.32302383897778,90.8346100265561
3,sweden,3G,good,13908.556434239368,2942.7036121531464,81.28050962600047,37.05237849834911
3,sweden,3G,medium,11504.463813567636,2534.2379851467545,83.66007643655166,49.55400330062306
3,sweden,4G,good,33300.98217045987,11338.093465680797,83.0254072603541,44.21141968723388
3,sweden,4G,medium,19750.631978392492,3490.106871864862,84.59163119231556,46.009529940037716
net1,norway,4G,bad,3295.6665022168213,149.74674246273133,112.90237110487114,82.04472736690624
net1,norway,4G,good,18771.20664570202,11634.685026654533,111.57185146473576,48.16729256164683
net1,norway,4G,medium,12675.957648153251,1930.2024307679649,107.6240798233494,57.88568968680676
telenor,norway,3G,good,12242.951087747222,3441.331787874993,98.79122555107779,56.959362595351394
telenor,norway,3G,medium,11140.146152187746,930.1395916261956,116.30346053083251,87.10609013464038
telenor,norway,4G,bad,22905.49984678181,1500.4135271085122,83.33413069917137,39.020774628073205
telenor,norway,4G,good,35638.47807286335,16417.91154955117,89.61577918141055,40.09922258201716
telenor,norway,4G,medium,23927.88325180164,3954.514618531522,86.38483031551375,39.8540561606916
telenor,sweden,3G,good,16226.3913421666,3328.018778076208,88.02011922669901,44.25315158448999
telenor,sweden,3G,medium,9713.455450285692,2304.626847067011,92.52294807343232,38.844014310836975
telenor,sweden,4G,good,22856.327027888008,10143.744824294152,90.50945481798671,48.43372291047463
telenor,sweden,4G,medium,10590.223886262243,2344.183427402598,88.64674810704422,48.403777215757984
telia,norway,3G,good,6192.611203511721,1997.3185079926611,87.68797736419066,59.8399174433793
telia,norway,3G,medium,3265.61398595305,1457.2524804538364,106.51113844839007,75.49551351196635
telia,norway,4G,bad,11495.552495723465,1521.0927399755633,101.60515559191359,63.765902042777654
telia,norway,4G,good,21487.635846014542,15707.74864908961,92.86137251178297,43.84838140515734
telia,norway,4G,medium,17146.69771713526,3021.190339270585,95.53354794805004,50.707682649453496
telia,sweden,3G,good,16733.749779888218,3362.620488703752,131.93499289088138,55.10156983990105
telia,sweden,3G,medium,11588.37967283065,2259.95112831988,145.95942031539738,59.569917792058504
telia,sweden,4G,good,53954.87190708256,21181.03261207894,91.85231065904635,45.93133354604078
telia,sweden,4G,medium,28648.29771023976,4224.282864079301,104.5041425140391,56.76313884877055
